CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.7;14;3;14;10;3;240;20
01:00;0.7;11;4;12;8;1;220;13
02:00;0.7;4;2;3;3;1;200;4
03:00;0.7;3;3;3;3;0;200;4
04:00;0.7;5;2;3;3;1;260;5
05:00;0.7;5;3;4;3;0;240;6
06:00;0.7;10;3;4;3;2;320;12
07:00;0.7;18;3;4;3;5;310;25
08:00;0.7;18;3;10;7;3;210;23
09:00;0.7;17;3;6;3;5;230;25
10:00;0.7;13;2;6;3;4;280;19
11:00;0.7;11;2;6;3;3;200;15
12:00;0.7;12;3;6;3;4;240;19
13:00;0.7;18;1;8;4;9;290;32
14:00;0.7;19;2;9;5;12;410;39
15:00;0.7;19;1;9;5;15;430;42
16:00;1.1;27;2;9;6;21;420;59
17:00;1.4;27;3;10;7;14;280;49
18:00;1.6;36;3;10;6;32;490;86
19:00;2.2;45;4;17;12;48;670;119
20:00;2.8;30;5;16;12;11;350;47
21:00;1.7;27;4;20;14;10;350;42
22:00;1.7;20;4;19;11;6;280;29
23:00;1.4;21;4;14;9;5;290;28
