CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;8.8;55;7;173;112;60;1880;147
01:00;0.4;13;7;59;22;0;400;13
02:00;0.4;9;8;33;11;0;430;9
03:00;0.4;8;8;35;16;0;400;8
04:00;0.4;15;7;31;11;2;370;18
05:00;0.4;11;5;26;9;1;330;12
06:00;0.4;9;4;22;6;2;290;11
07:00;0.4;12;4;12;3;3;330;17
08:00;0.4;15;4;6;3;5;370;22
09:00;0.4;15;4;12;6;6;;23
10:00;0.4;17;4;16;6;7;330;26
11:00;0.4;13;4;12;5;7;350;23
12:00;0.4;13;5;14;5;7;510;23
13:00;0.4;13;6;14;5;6;520;22
14:00;0.4;16;4;12;4;5;520;23
15:00;0.4;18;4;11;3;6;550;26
16:00;0.4;17;4;12;4;4;570;22
17:00;0.4;24;5;13;4;7;610;34
18:00;0.4;29;6;19;9;5;630;36
19:00;1.6;34;6;24;11;6;690;43
20:00;2;46;7;42;21;12;870;64
21:00;2.5;47;8;56;32;8;660;59
22:00;3.2;70;7;107;58;24;810;107
23:00;7.2;68;6;163;98;62;1340;163
