CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Tlenek węgla
00:00;4.1;5;74;1020
01:00;3;4;41;900
02:00;17.4;3;40;1020
03:00;20.1;5;50;1860
04:00;20.2;6;101;1320
05:00;17.1;7;87;
06:00;19.8;8;112;1660
07:00;18.8;8;133;790
08:00;5.4;5;109;1390
09:00;14.7;6;153;1320
10:00;6;6;95;970
11:00;6.5;6;77;730
12:00;5.6;6;37;360
13:00;0.6;6;33;570
14:00;2.5;7;33;690
15:00;2.4;6;53;560
16:00;1.9;6;42;580
17:00;3.5;5;44;520
18:00;1.9;4;26;760
19:00;3;3;29;400
20:00;0.9;4;16;610
21:00;1.6;3;18;690
22:00;2.2;4;46;1170
23:00;3.9;4;66;1210
