CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;14.8;5.78358;11.8529;6.38931;2.03919;302.638;286.6;17.9
01:00;20;5.4895;12.0119;6.59278;3.23943;324.977;287.882;24.9
02:00;8.5;5.60403;23.0868;14.9838;1.62005;276.056;385.83;10.9
03:00;10.6;6.14563;24.7421;15.4104;1.76104;267.817;363.669;13.3
04:00;10.9;6.11534;23.2061;14.9606;2.26365;263.811;347.047;14.3
05:00;15.1;6.19957;23.2831;15.0697;3.26402;289.091;334.434;20.1
06:00;26.5;6.42346;28.5354;18.12;16.4781;451.489;334.461;51.8
07:00;35.1;6.32518;29.2975;18.954;24.0952;483.802;341.141;72
08:00;38.3;6.66729;28.1983;17.7203;18.5664;464.437;353.738;66.8
09:00;37.1;9.55413;29.9627;18.8496;14.5916;418.364;364.358;59.5
10:00;34.7;11.9563;29.6596;18.1643;12.1887;323.844;370.332;53.4
11:00;29.4;10.9115;34.0867;22.4474;8.561;404.86;387.462;42.5
12:00;34.6;11.1021;32.6512;20.2096;10.4007;371.677;400.946;50.6
13:00;37.9;9.91101;35.5814;17.9439;15.124;365.538;410.501;61.1
14:00;20;10.4135;23.5444;12.5831;6.79476;344.979;397.188;30.4
15:00;16.3;7.91897;15.2166;6.74694;5.05243;304.719;374.802;24
16:00;17.1;7.38992;14.7682;6.47722;3.27857;317.323;356.413;22.1
17:00;21.4;7.9633;17.6456;7.21389;3.41505;314.718;343.457;26.7
18:00;8;7.34781;11.3794;4.50042;1.23869;239.945;332.97;9.9
19:00;19.3;6.98279;15.3935;5.77278;1.95883;280.619;317.44;22.3
20:00;20.2;6.51508;14.1426;4.84611;1.85145;278.765;305.826;23.1
21:00;23.5;6.71384;13.2397;4.87833;2.20061;305.249;298.29;26.8
22:00;21.5;6.48848;12.2107;5.13056;1.39387;290.515;291.482;23.6
23:00;14.6;6.30967;13.0618;5.99319;1.1417;280.351;288.436;16.4
