CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;64;8;70;42;7;780;75
01:00;48;9;72;50;4;600;52
02:00;29;7;36;23;1;450;30
03:00;25;6;31;21;1;330;25
04:00;29;6;40;27;1;350;31
05:00;36;5;49;30;4;480;42
06:00;57;5;66;32;22;690;89
07:00;38;10;40;17;3;300;41
08:00;60;15;87;30;20;750;88
09:00;32;12;41;17;6;270;40
10:00;23;8;36;15;3;230;27
11:00;15;7;26;14;2;220;18
12:00;15;6;30;16;2;210;18
13:00;12;5;25;12;1;180;12
14:00;13;6;20;11;1;180;14
15:00;15;6;15;6;2;170;16
16:00;14;5;15;6;1;160;14
17:00;25;6;15;3;5;210;31
18:00;33;9;12;3;7;260;44
19:00;39;9;19;5;7;290;49
20:00;44;8;24;8;7;330;54
21:00;58;9;37;19;10;480;73
22:00;59;11;54;29;7;550;69
23:00;69;11;45;21;13;500;87
