CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.9;10;3;2;340;13
01:00;1.3;6;3;1;280;8
02:00;2.8;12;1;4;340;18
03:00;2.4;9;2;3;280;13
04:00;3.6;8;1;4;310;13
05:00;4.5;7;1;3;310;12
06:00;3.4;5;1;3;290;10
07:00;2.2;5;1;3;310;9
08:00;1.8;11;2;5;340;19
09:00;1.7;11;2;4;290;17
10:00;1.2;5;1;1;170;7
11:00;0.9;4;2;1;160;5
12:00;0.6;4;2;1;160;5
13:00;0.6;4;2;1;;6
14:00;0.9;10;4;2;260;13
15:00;1.1;6;3;1;250;8
16:00;0.6;8;2;1;270;9
17:00;0.8;7;3;1;240;8
18:00;0.9;7;3;1;240;8
19:00;0.9;10;3;1;290;13
20:00;1.5;10;2;2;350;12
21:00;1.1;12;3;3;310;15
22:00;1.1;14;3;2;300;17
23:00;1;14;3;2;280;18
