CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenki azotu
00:00;20;2;53;100
01:00;19;2;34;70
02:00;24;2;16;47
03:00;24;2;16;49
04:00;24;2;18;52
05:00;23;2;20;53
06:00;21;2;21;54
07:00;26;2;20;56
08:00;21;2;8;32
09:00;24;1;11;40
10:00;18;2;5;25
11:00;21;5;12;39
12:00;22;15;13;42
13:00;22;14;9;36
14:00;27;17;10;42
15:00;23;8;5;29
16:00;23;5;6;31
17:00;25;3;6;33
18:00;29;3;7;39
19:00;35;2;9;49
20:00;29;2;14;50
21:00;26;2;31;73
22:00;21;2;47;93
23:00;23;1;41;85
