CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;29;2;82;27;70
01:00;26;4;85;23;61
02:00;23;2;47;19;52
03:00;18;2;45;20;48
04:00;15;2;;22;49
05:00;18;2;;11;35
06:00;19;2;;25;57
07:00;19;3;;36;74
08:00;17;3;;36;71
09:00;24;3;;31;70
10:00;22;6;;16;46
11:00;15;6;;7;26
12:00;15;5;;5;22
13:00;16;5;;5;23
14:00;12;5;;3;16
15:00;20;29;;4;26
16:00;13;9;;2;16
17:00;12;5;;2;14
18:00;14;4;;2;17
19:00;16;4;;3;20
20:00;35;4;;5;41
21:00;18;3;;3;22
22:00;55;4;;44;121
23:00;39;2;;25;78
