CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;22;8;92;55;2;560;25
01:00;35;8;68;47;9;460;49
02:00;23;7;66;47;4;510;29
03:00;17;6;68;49;2;490;19
04:00;25;7;84;62;6;430;34
05:00;18;8;56;42;1;460;20
06:00;16;11;42;32;1;550;17
07:00;15;9;32;24;1;430;17
08:00;17;9;35;23;1;400;19
09:00;24;8;53;37;3;490;29
10:00;24;9;50;38;8;540;36
11:00;13;10;36;26;1;540;15
12:00;14;12;48;35;3;580;18
13:00;18;9;51;37;3;610;23
14:00;16;10;53;40;3;730;20
15:00;16;10;54;42;2;520;19
16:00;16;11;63;48;1;690;18
17:00;15;9;58;44;2;650;17
18:00;20;8;75;59;2;490;23
19:00;15;8;62;47;1;450;16
20:00;15;12;60;44;1;960;17
21:00;18;10;76;53;2;850;21
22:00;20;12;90;56;3;820;24
23:00;20;8;86;52;2;760;23
