CZAS;Benzen;Dwutlenek siarki;Tlenek węgla
00:00;0.4;4;720
01:00;0.4;4;670
02:00;0.4;3;620
03:00;0.4;3;660
04:00;0.4;3;670
05:00;0.4;3;650
06:00;0.4;3;590
07:00;0.4;2;590
08:00;0.4;4;500
09:00;0.4;6;450
10:00;0.4;6;410
11:00;0.4;4;380
12:00;0.4;4;340
13:00;0.4;5;330
14:00;0.4;17;300
15:00;0.4;8;340
16:00;0.4;11;400
17:00;0.4;9;350
18:00;0.4;6;370
19:00;0.4;4;430
20:00;0.4;4;700
21:00;0.4;4;590
22:00;0.4;4;630
23:00;0.4;4;740
