CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;32;3;27;17;610;57
01:00;35;2;27;7;590;46
02:00;31;4;52;16;850;56
03:00;31;4;55;5;590;38
04:00;22;3;55;3;460;26
05:00;20;3;55;3;450;25
06:00;20;3;48;4;440;26
07:00;24;4;48;7;470;35
08:00;16;4;48;6;500;25
09:00;15;4;46;7;480;25
10:00;17;5;46;9;530;30
11:00;9;7;46;6;380;17
12:00;6;5;36;5;;14
13:00;8;4;36;6;390;17
14:00;8;6;36;5;400;16
15:00;9;7;23;6;320;17
16:00;8;7;23;5;370;15
17:00;12;8;23;5;340;20
18:00;14;9;19;6;360;23
19:00;20;9;19;7;420;31
20:00;52;7;19;7;730;63
21:00;39;6;20;11;750;56
22:00;44;5;20;19;800;73
23:00;22;4;20;4;540;26
