CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;17;3;110;2240;184
01:00;14;2;90;2380;152
02:00;20;7;2;270;22
03:00;17;5;1;250;20
04:00;18;5;1;280;20
05:00;23;2;7;440;33
06:00;23;1;22;500;56
07:00;18;1;30;490;64
08:00;22;1;22;520;55
09:00;22;1;30;;68
10:00;22;3;25;500;61
11:00;31;24;13;610;50
12:00;30;34;12;620;47
13:00;25;27;8;800;37
14:00;21;23;6;440;29
15:00;16;21;4;160;22
16:00;17;18;3;300;21
17:00;21;17;4;380;26
18:00;26;10;5;340;33
19:00;46;3;48;1420;119
20:00;37;3;81;1700;161
21:00;31;2;115;2490;207
22:00;27;2;129;2660;224
23:00;21;2;136;2610;228
