CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;2.3;18;69;56;540
01:00;2.6;19;38;31;510
02:00;2.3;17;42;34;510
03:00;2.3;16;42;34;490
04:00;2.3;18;61;49;570
05:00;2.3;17;61;50;570
06:00;2.3;17;;;570
07:00;2.5;17;;;610
08:00;2.6;17;;;590
09:00;2.6;19;62;49;560
10:00;2.6;19;67;53;580
11:00;2.6;22;71;55;580
12:00;2.6;20;63;50;520
13:00;2.3;20;64;49;470
14:00;2.3;21;71;55;510
15:00;2.3;21;66;51;500
16:00;2.3;18;62;49;500
17:00;2.3;15;63;50;490
18:00;2.3;17;66;51;550
19:00;2.3;19;68;54;560
20:00;2.3;19;70;56;560
21:00;2.5;18;72;58;560
22:00;2.5;19;66;53;550
23:00;2.3;18;67;53;540
