CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.4;25;2;36;680;79
01:00;2.7;24;1;9;490;37
02:00;0.6;6;3;1;270;8
03:00;0.9;4;3;1;260;6
04:00;0.9;7;3;2;280;9
05:00;0.9;9;2;2;270;11
06:00;0.9;14;2;3;320;17
07:00;1;15;2;5;350;22
08:00;1.2;17;3;20;420;48
09:00;1.3;24;4;23;360;59
10:00;1.1;11;4;4;300;16
11:00;0.9;10;3;3;290;14
12:00;0.9;12;5;4;;18
13:00;2.8;24;11;8;380;35
14:00;3.1;29;15;11;320;46
15:00;2.2;33;12;10;260;48
16:00;1.7;27;7;8;200;39
17:00;1.8;26;5;4;320;33
18:00;1.7;36;4;11;290;53
19:00;1.9;48;7;40;530;109
20:00;2.9;52;9;85;860;182
21:00;3.7;;;;;
22:00;3.3;34;6;60;650;126
23:00;3.4;31;4;55;790;115
