CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;6.7;18;183;114;1250
01:00;4.1;41;;;1330
02:00;4.4;21;;;910
03:00;4.2;23;;;1050
04:00;4.4;50;;;1430
05:00;5.1;47;;;1480
06:00;5.5;33;;;1330
07:00;5.2;20;;;1430
08:00;5.2;19;;;1390
09:00;5.2;24;;;1320
10:00;5.5;35;190;123;1300
11:00;5.9;50;199;147;1610
12:00;7.3;45;;;1690
13:00;8.3;43;;;1150
14:00;7.2;33;;;950
15:00;6.4;26;;;960
16:00;5.8;19;121;96;940
17:00;5.4;16;119;96;810
18:00;4.9;14;131;102;900
19:00;4.7;16;132;105;920
20:00;4.5;19;151;118;1140
21:00;5.1;20;186;143;1250
22:00;5.9;21;252;166;3260
23:00;6.8;19;258;150;1690
