CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;4.5;62;8;180;95;1200;206
01:00;3.8;55;8;155;41;880;118
02:00;3.8;42;4;127;41;810;104
03:00;3;36;6;107;24;760;73
04:00;2.3;33;6;82;8;580;46
05:00;1.2;30;5;70;5;520;37
06:00;0.4;30;5;69;30;630;76
07:00;1.5;37;6;80;90;890;176
08:00;2.5;45;10;102;77;950;163
09:00;5.8;54;12;165;43;960;119
10:00;12.3;62;13;130;31;760;109
11:00;1.2;61;12;84;25;790;99
12:00;0.4;43;58;68;13;550;62
13:00;0.4;39;44;44;10;480;54
14:00;0.4;27;19;47;8;480;39
15:00;0.4;27;26;29;7;460;38
16:00;0.4;21;13;24;4;430;27
17:00;0.4;26;30;29;5;440;34
18:00;0.4;38;22;13;10;610;53
19:00;0.4;48;23;17;10;710;63
20:00;0.4;76;15;40;16;820;100
21:00;0.4;86;12;75;52;950;166
22:00;2.3;92;10;120;98;1250;241
23:00;4.2;80;10;151;140;;294
