CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;3;35;5;32;22;12;52
01:00;4.5;30;7;67;45;5;37
02:00;2.5;25;6;93;55;4;29
03:00;2.5;23;5;92;52;4;29
04:00;3;23;5;93;53;8;34
05:00;4;25;5;108;62;8;37
06:00;4.5;30;5;133;79;36;85
07:00;4.5;35;5;95;69;83;161
08:00;5;34;6;167;99;90;170
09:00;6.5;38;5;131;78;122;223
10:00;8.5;55;6;134;91;199;358
11:00;9.5;64;6;103;80;167;320
12:00;7;59;12;88;63;95;203
13:00;4.1;49;22;94;57;37;106
14:00;4;51;21;106;52;27;91
15:00;2;41;10;65;18;17;66
16:00;1.5;43;8;67;21;17;68
17:00;1.5;55;7;112;35;40;114
18:00;3.5;63;8;182;61;82;187
19:00;4;60;7;95;52;78;178
20:00;4;43;6;69;41;19;70
21:00;3;27;7;37;26;4;33
22:00;2.5;20;7;40;29;2;22
23:00;3;41;6;52;31;39;101
