CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;25.1;27;3;175;1850;294
01:00;2.9;17;4;3;320;21
02:00;2.6;16;3;2;260;19
03:00;1.8;13;4;2;190;16
04:00;1.9;17;6;2;200;20
05:00;2;21;7;3;260;25
06:00;2.3;28;8;12;330;46
07:00;2.7;40;8;30;;86
08:00;3.3;52;12;48;640;124
09:00;3.9;46;7;45;540;113
10:00;3.4;34;8;26;440;73
11:00;3.1;31;9;17;380;56
12:00;3.2;35;11;14;430;56
13:00;2.4;38;13;19;340;67
14:00;2.4;39;8;22;310;71
15:00;3.1;42;10;19;300;70
16:00;3.5;48;10;31;480;96
17:00;4.7;65;8;80;860;187
18:00;8.5;61;9;150;1310;289
19:00;17.5;53;8;180;1560;327
20:00;17.6;40;4;125;1400;230
21:00;16.1;37;3;128;1350;231
22:00;17.6;33;3;159;1450;276
23:00;17.1;32;3;183;1740;312
