CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;4.8;64;9;39;970;121
01:00;3.2;55;10;32;740;102
02:00;2.2;37;3;10;650;52
03:00;2.1;32;3;4;530;39
04:00;2.1;35;4;17;650;61
05:00;2.1;33;4;47;770;105
06:00;2.1;43;4;46;980;112
07:00;3.1;37;7;36;890;93
08:00;3.1;41;9;31;860;88
09:00;2.6;35;11;19;680;64
10:00;2.2;29;13;11;500;46
11:00;1.1;21;7;5;360;29
12:00;0.6;13;6;4;270;19
13:00;0;13;6;4;280;19
14:00;0;19;6;8;;31
15:00;0;16;6;5;290;24
16:00;0.5;;6;;300;
17:00;0;;;;320;
18:00;0;28;15;6;440;35
19:00;0;44;12;9;430;57
20:00;0.5;106;12;97;1240;253
21:00;3.1;94;15;125;1560;283
22:00;4.2;83;13;169;1910;340
23:00;5.7;72;13;101;1600;226
