CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;13;56;231;189;1760
01:00;5.1;56;190;155;1350
02:00;5.4;61;204;168;1470
03:00;5.8;59;197;162;1460
04:00;6;68;206;169;1570
05:00;6.4;69;210;173;1590
06:00;6.8;62;200;162;1550
07:00;7;67;214;172;1780
08:00;7;70;183;147;1400
09:00;6.7;86;188;146;1280
10:00;6.5;72;187;149;1550
11:00;6.4;64;173;141;1220
12:00;6;65;176;143;1230
13:00;5.8;64;174;142;1200
14:00;5.5;66;186;147;1440
15:00;5.5;63;182;147;1330
16:00;5.5;59;173;139;1180
17:00;5.4;56;182;145;1300
18:00;5.7;53;208;168;1750
19:00;6.5;49;249;200;2110
20:00;8;59;380;301;3080
21:00;11.1;79;381;308;3230
22:00;12.5;76;369;299;3110
23:00;13.3;66;373;302;3190
