CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;0.7;8;4;18;12;2;11
01:00;9.6;50;11;89;68;37;106
02:00;5.1;45;13;82;67;24;81
03:00;5;41;13;93;76;14;62
04:00;5;29;13;101;83;2;31
05:00;5;32;13;99;78;8;44
06:00;4;28;11;89;70;14;50
07:00;5;29;13;79;61;26;68
08:00;3.1;31;16;64;51;14;52
09:00;3;33;17;62;47;28;75
10:00;2.5;28;18;50;40;24;65
11:00;2;27;15;45;36;30;71
12:00;2.5;23;11;28;23;17;49
13:00;2;26;7;24;18;24;63
14:00;2;24;7;16;13;13;43
15:00;1;23;5;17;14;10;38
16:00;1.4;29;6;23;18;12;46
17:00;2;25;5;22;16;9;38
18:00;1;25;5;25;18;10;39
19:00;2;27;6;33;24;10;41
20:00;2;26;6;34;25;10;41
21:00;1.5;19;5;27;20;8;29
22:00;1;13;4;22;15;4;20
23:00;1;11;4;16;9;4;16
