CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;49;3;50;28;9;560;63
01:00;36;3;53;30;2;460;41
02:00;38;4;49;28;13;640;59
03:00;35;4;39;22;17;;60
04:00;29;5;35;20;10;470;45
05:00;20;5;36;21;10;490;36
06:00;23;6;44;24;37;680;79
07:00;40;5;55;22;63;820;136
08:00;61;5;43;17;24;820;98
09:00;47;4;41;15;17;650;73
10:00;23;4;29;12;5;460;30
11:00;26;2;33;11;5;480;35
12:00;20;4;44;12;3;460;25
13:00;13;2;27;10;2;370;16
14:00;21;3;34;10;3;390;26
15:00;23;2;28;5;5;400;33
16:00;24;2;26;8;4;420;31
17:00;22;3;48;19;2;230;26
18:00;57;2;39;25;10;750;73
19:00;54;3;45;22;13;660;75
20:00;70;3;53;22;24;850;107
21:00;58;3;52;22;15;750;82
22:00;41;2;47;26;7;600;53
23:00;53;2;51;28;8;700;67
