CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;28;3;19;6;320;38
01:00;30;4;19;10;;46
02:00;8;4;12;1;200;8
03:00;6;3;14;1;170;6
04:00;9;3;9;1;170;10
05:00;16;3;11;3;240;21
06:00;27;4;13;9;340;41
07:00;25;3;25;11;330;41
08:00;22;3;38;8;290;35
09:00;23;4;25;7;340;35
10:00;21;4;19;8;340;33
11:00;22;6;41;10;290;38
12:00;22;7;21;8;280;34
13:00;20;7;34;6;320;29
14:00;21;8;24;6;270;30
15:00;24;7;21;6;310;33
16:00;23;4;21;4;320;30
17:00;25;4;20;5;360;33
18:00;28;4;28;6;360;36
19:00;31;5;24;7;390;42
20:00;33;5;31;7;390;44
21:00;33;4;17;5;380;40
22:00;32;2;15;9;420;46
23:00;29;4;9;5;350;38
