CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;3.1;31;131;99;920
01:00;1.6;9;34;26;310
02:00;1.3;9;32;25;310
03:00;1.3;9;28;22;290
04:00;1.3;9;27;21;280
05:00;1.3;9;24;19;260
06:00;1.3;9;23;17;250
07:00;1;10;23;16;250
08:00;1;10;25;19;250
09:00;1;9;28;21;250
10:00;1.2;10;34;26;270
11:00;1.3;10;36;28;280
12:00;1.3;10;42;33;290
13:00;1.5;14;;;350
14:00;1.6;15;42;33;330
15:00;1.6;14;50;39;370
16:00;1.6;12;50;39;360
17:00;1.6;12;52;41;360
18:00;1.6;13;69;55;450
19:00;1.8;14;69;54;470
20:00;1.9;10;62;49;420
21:00;2.1;13;79;62;520
22:00;2.3;16;83;66;550
23:00;2.5;21;103;81;730
