CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;44;8;195;82;11;1180;60
01:00;36;1;139;90;18;940;63
02:00;39;1;182;96;32;870;86
03:00;32;2;227;120;27;1230;74
04:00;32;4;228;120;34;1480;84
05:00;31;2;215;118;58;1570;119
06:00;28;2;202;123;64;1670;126
07:00;30;2;219;126;115;2010;206
08:00;46;7;238;140;183;2500;325
09:00;55;14;146;94;72;1450;164
10:00;52;14;108;63;29;860;96
11:00;35;13;65;36;14;420;56
12:00;14;9;35;20;4;300;20
13:00;10;5;25;13;3;290;14
14:00;10;5;26;15;2;330;13
15:00;10;4;25;14;2;270;12
16:00;13;3;;;2;370;15
17:00;21;17;55;33;2;590;24
18:00;18;7;56;31;1;340;20
19:00;25;8;59;36;1;;27
20:00;21;7;79;43;1;400;23
21:00;27;15;150;63;2;660;29
22:00;47;15;176;76;3;1260;52
23:00;50;9;167;75;11;1270;67
