CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;7.8;34;193;155;1860
01:00;1.9;16;65;48;400
02:00;1.9;15;64;47;440
03:00;1.9;15;58;47;400
04:00;1.9;13;62;49;420
05:00;2.1;22;71;57;490
06:00;2.3;16;71;54;480
07:00;2.3;14;69;56;500
08:00;2.3;14;71;58;560
09:00;2.6;18;86;69;680
10:00;2.8;24;115;91;820
11:00;3.4;32;;;1020
12:00;3.6;40;;;900
13:00;3.6;41;101;81;820
14:00;3.6;43;102;81;900
15:00;3.6;44;105;83;930
16:00;3.6;41;107;85;1000
17:00;3.6;37;111;89;1030
18:00;3.8;49;;;1210
19:00;4.4;76;;;1370
20:00;5.1;65;160;130;1360
21:00;5.5;65;144;116;1230
22:00;5.9;53;181;140;1750
23:00;7.7;48;190;153;1770
