CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.1;44;10;57;49;35;700;96
01:00;1;18;10;15;13;2;430;21
02:00;0.6;24;10;18;14;4;430;29
03:00;0.6;22;6;19;14;3;460;27
04:00;0.6;24;8;18;15;4;440;29
05:00;0.6;27;10;19;16;4;530;32
06:00;1;38;12;22;18;19;740;66
07:00;1.3;44;10;24;18;47;740;115
08:00;1.3;48;10;29;21;67;890;150
09:00;1.3;51;12;30;21;59;840;142
10:00;1.3;49;15;30;19;45;910;117
11:00;1.3;45;13;24;18;31;740;91
12:00;1.3;42;13;25;18;29;650;86
13:00;1.3;35;13;25;19;20;620;64
14:00;1.3;38;12;23;17;20;550;69
15:00;1.3;40;10;22;15;22;520;73
16:00;1.3;40;10;19;14;17;500;66
17:00;1.3;43;9;19;13;19;600;72
18:00;1.3;58;7;24;16;34;760;109
19:00;1.3;60;8;29;20;35;790;113
20:00;1.3;55;10;37;29;30;;100
21:00;1.3;53;10;41;32;33;490;104
22:00;2.1;50;10;45;38;32;560;98
23:00;2.1;48;11;52;44;40;650;110
