CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;8;14;4;103;1780;171
01:00;6.2;16;4;83;1690;143
02:00;5.9;13;4;63;1580;110
03:00;5.3;9;4;55;1530;93
04:00;5.1;9;3;54;1520;91
05:00;4.5;8;4;38;1280;66
06:00;4;7;3;47;1290;79
07:00;3.9;8;3;87;1330;142
08:00;3.3;8;3;73;1140;119
09:00;3.9;15;5;61;1150;107
10:00;8.8;28;7;45;1040;96
11:00;6.9;24;9;18;700;51
12:00;2.5;12;5;5;340;19
13:00;0.6;14;5;7;350;26
14:00;2.1;24;7;8;410;36
15:00;1.7;11;6;3;260;15
16:00;0.6;26;4;51;590;103
17:00;2;52;4;190;1650;342
18:00;2.4;40;3;35;;94
19:00;2;41;4;74;970;155
20:00;3.4;35;4;135;1370;239
21:00;5.8;27;4;199;1980;330
22:00;7.2;19;4;189;1890;307
23:00;7.7;14;3;131;1730;215
