CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;37;1;44;25;10;650;53
01:00;37;2;59;32;4;590;44
02:00;38;5;62;33;9;450;52
03:00;27;5;48;25;5;400;34
04:00;25;4;46;26;6;340;34
05:00;31;3;57;32;11;420;48
06:00;32;4;53;29;8;270;44
07:00;40;4;54;24;17;370;65
08:00;36;4;55;27;22;390;69
09:00;30;5;68;25;7;280;40
10:00;19;6;46;16;4;340;24
11:00;12;4;32;11;2;230;15
12:00;22;4;32;7;3;230;26
13:00;32;17;23;4;4;190;38
14:00;14;6;20;4;1;170;15
15:00;13;8;28;6;1;220;14
16:00;19;8;44;12;1;280;21
17:00;35;4;40;14;5;340;43
18:00;40;3;32;17;12;410;57
19:00;27;2;25;10;4;190;33
20:00;46;3;39;14;16;370;69
21:00;42;2;43;17;18;270;69
22:00;52;2;42;21;18;470;79
23:00;42;2;51;30;24;600;79
