CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5.8;44;2;22;750;77
01:00;5.7;38;3;17;770;65
02:00;1;17;3;2;340;20
03:00;0;21;3;4;350;27
04:00;0;35;3;5;430;41
05:00;1;28;2;7;450;39
06:00;0.5;38;3;18;540;65
07:00;1;34;7;10;590;50
08:00;1;20;6;4;340;27
09:00;1;20;;5;370;28
10:00;3.1;16;8;4;350;23
11:00;1.6;12;10;4;270;17
12:00;1.5;11;8;3;260;16
13:00;2;9;7;2;230;13
14:00;0.1;8;5;2;;11
15:00;0;12;7;3;350;16
16:00;0;7;4;1;260;10
17:00;0;12;4;2;280;16
18:00;0.5;8;2;1;260;10
19:00;0;31;11;2;540;34
20:00;3.5;63;4;12;640;81
21:00;1.7;61;4;49;840;137
22:00;4;66;5;70;1140;173
23:00;5.7;53;5;44;880;120
