CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;25;5;6;380;33
01:00;25;5;6;370;33
02:00;19;9;4;140;25
03:00;21;8;5;140;28
04:00;20;7;5;120;27
05:00;17;8;4;120;24
06:00;29;6;12;220;46
07:00;46;7;22;330;80
08:00;47;6;24;300;83
09:00;39;6;19;250;68
10:00;31;6;16;240;55
11:00;25;6;13;250;45
12:00;24;6;11;160;39
13:00;22;5;9;140;36
14:00;29;5;15;170;51
15:00;32;10;19;180;59
16:00;27;7;13;180;46
17:00;28;4;12;190;46
18:00;33;6;17;200;59
19:00;28;4;9;200;41
20:00;45;3;13;370;64
21:00;33;4;10;330;48
22:00;37;4;10;390;52
23:00;35;5;10;430;50
