CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;24;3;39;29;36;720;78
01:00;21;3;41;31;25;690;59
02:00;41;4;29;24;8;530;53
03:00;38;4;31;24;9;510;52
04:00;22;4;31;24;5;430;30
05:00;22;4;30;24;5;440;29
06:00;28;4;32;24;22;570;61
07:00;31;4;30;23;36;630;85
08:00;30;4;26;21;32;560;78
09:00;36;4;22;19;37;520;93
10:00;25;5;17;13;14;360;45
11:00;21;10;15;10;10;310;35
12:00;12;15;11;8;5;270;19
13:00;11;14;11;8;4;280;16
14:00;10;10;11;8;2;260;13
15:00;15;10;12;8;3;270;19
16:00;25;12;15;9;5;320;32
17:00;21;9;24;15;2;350;23
18:00;19;7;46;39;2;510;22
19:00;14;7;30;17;1;400;16
20:00;42;5;33;20;28;630;84
21:00;36;5;58;44;29;910;80
22:00;32;4;73;54;51;960;111
23:00;26;4;44;31;51;880;103
