CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;54;2;35;1100;108
01:00;41;1;18;1010;65
02:00;14;2;34;550;66
03:00;13;1;33;600;63
04:00;12;1;21;520;42
05:00;12;2;15;470;34
06:00;11;2;19;460;38
07:00;15;1;44;620;80
08:00;15;3;71;900;123
09:00;40;2;148;1220;266
10:00;;;;920;
11:00;46;9;46;570;115
12:00;42;15;27;440;81
13:00;31;11;13;430;49
14:00;29;10;9;390;42
15:00;35;19;10;400;50
16:00;37;12;11;400;54
17:00;39;5;9;370;54
18:00;51;5;10;430;66
19:00;90;5;28;730;132
20:00;103;2;138;;312
21:00;91;3;190;2270;381
22:00;78;2;156;1860;315
23:00;67;2;54;1240;149
