CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;43;5;82;1480;167
01:00;39;5;87;1740;171
02:00;26;3;72;1680;135
03:00;23;3;69;1710;128
04:00;21;4;63;1530;116
05:00;19;4;54;1310;101
06:00;19;4;59;1220;108
07:00;23;4;96;1190;168
08:00;24;4;124;1310;212
09:00;33;4;164;1710;283
10:00;45;9;185;1900;327
11:00;55;16;99;1230;206
12:00;47;15;25;360;85
13:00;20;7;18;;47
14:00;;;;450;
15:00;40;;16;620;65
16:00;42;;18;710;69
17:00;42;7;19;500;71
18:00;64;6;31;250;110
19:00;81;5;83;330;206
20:00;64;6;69;730;169
21:00;63;5;68;;168
22:00;57;5;105;1600;217
23:00;52;5;160;1980;297
