CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;20;5;32;1;350;21
01:00;13;6;36;1;290;14
02:00;;;;;;
03:00;;;;;;
04:00;;;;;;
05:00;;;;;;
06:00;;;;;;
07:00;;;;;;
08:00;;;;;;
09:00;;;;;;
10:00;;;76;;;
11:00;43;2;152;21;570;75
12:00;43;2;110;20;630;74
13:00;37;3;78;14;570;59
14:00;16;3;80;3;310;20
15:00;13;3;34;2;270;17
16:00;14;3;29;1;280;16
17:00;20;4;25;4;360;26
18:00;45;5;44;13;;65
19:00;48;4;66;7;560;58
20:00;37;4;59;3;510;42
21:00;30;4;66;2;460;33
22:00;18;6;34;1;370;19
23:00;15;7;28;0;280;15
