CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;3.8;21;58;46;670
01:00;6.4;18;161;110;1370
02:00;6.2;17;165;108;1180
03:00;5.8;20;178;114;1170
04:00;5.8;22;191;120;1230
05:00;5.5;28;;;1370
06:00;5.8;23;;;1520
07:00;5.8;24;;;1770
08:00;6;21;;;1820
09:00;6.2;22;;;1750
10:00;6.2;23;;;1710
11:00;6.2;23;153;123;
12:00;6.2;26;161;131;
13:00;6.4;34;168;137;
14:00;6.7;40;181;148;
15:00;6.8;48;218;175;
16:00;7.1;40;180;144;2050
17:00;6.7;22;76;61;960
18:00;5.9;22;66;51;930
19:00;5.2;22;72;55;970
20:00;4.9;24;76;58;1040
21:00;4.9;24;74;60;1050
22:00;4.4;25;64;52;860
23:00;4;23;57;45;710
