CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.1;35;25;19;7;530;46
01:00;0.6;18;22;18;2;420;21
02:00;3;22;57;32;11;1040;39
03:00;1.8;21;53;31;13;1030;40
04:00;5.5;20;41;27;14;980;40
05:00;;16;32;25;8;1100;28
06:00;5.8;13;30;24;8;1180;25
07:00;5.5;14;29;23;11;1030;30
08:00;5.9;14;27;21;19;1010;42
09:00;5.9;14;28;22;30;930;59
10:00;5.9;23;31;24;47;930;94
11:00;;25;33;25;35;820;79
12:00;6.2;23;32;24;20;650;53
13:00;3.6;19;25;19;9;500;33
14:00;3.5;19;25;18;8;430;30
15:00;3.8;22;24;18;7;450;33
16:00;1.6;20;23;17;6;430;28
17:00;1.4;29;22;16;9;450;43
18:00;2;31;21;16;9;490;44
19:00;2.9;51;22;15;18;600;79
20:00;1.7;54;29;18;63;890;150
21:00;2.5;33;31;20;40;750;94
22:00;2.2;21;32;20;30;660;66
23:00;1.2;31;30;21;19;640;60
