CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;32;30;4;890;37
01:00;24;20;2;560;28
02:00;13;6;2;610;16
03:00;13;6;1;710;15
04:00;16;8;2;680;19
05:00;19;10;3;990;23
06:00;20;11;3;830;24
07:00;22;10;5;800;29
08:00;22;9;10;790;38
09:00;22;12;15;690;46
10:00;12;6;7;290;23
11:00;10;5;5;270;17
12:00;9;5;3;280;13
13:00;8;5;3;240;12
14:00;8;6;2;;11
15:00;8;6;2;240;11
16:00;9;5;2;260;11
17:00;10;5;2;240;13
18:00;12;3;2;270;14
19:00;14;3;1;250;15
20:00;13;4;1;290;15
21:00;32;30;4;1110;38
22:00;38;46;5;1300;46
23:00;27;33;3;890;30
