CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;32;3;37;21;7;390;42
01:00;28;3;41;23;5;330;34
02:00;19;2;11;4;3;120;22
03:00;19;1;14;6;3;140;21
04:00;20;1;17;8;5;160;27
05:00;23;2;31;18;7;;32
06:00;27;3;34;21;14;430;47
07:00;32;4;32;19;25;480;70
08:00;32;3;28;14;21;380;62
09:00;36;3;27;12;20;330;67
10:00;29;2;22;10;13;310;47
11:00;23;2;21;10;10;300;37
12:00;16;1;16;5;5;230;22
13:00;19;1;17;6;9;320;33
14:00;18;1;18;7;6;320;27
15:00;21;2;21;9;9;420;34
16:00;14;2;14;5;5;370;21
17:00;20;1;19;6;9;390;31
18:00;37;2;14;5;15;370;59
19:00;37;1;19;8;16;440;60
20:00;43;2;27;14;17;410;68
21:00;54;1;28;15;27;510;95
22:00;39;1;15;7;12;290;56
23:00;49;2;32;17;19;410;76
