CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;2;42;23;290
01:00;2;37;15;290
02:00;2;59;32;470
03:00;2;53;31;360
04:00;2;47;27;290
05:00;2;45;23;
06:00;2;74;43;330
07:00;3;95;58;470
08:00;5;95;39;570
09:00;7;112;31;500
10:00;6;69;18;290
11:00;11;62;18;420
12:00;14;53;14;500
13:00;11;38;9;240
14:00;6;25;7;170
15:00;4;25;7;200
16:00;3;20;5;230
17:00;3;20;6;350
18:00;3;23;7;390
19:00;4;45;16;470
20:00;4;42;14;290
21:00;6;50;14;370
22:00;3;23;5;170
23:00;2;17;6;230
