CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;7.8;16;13;22;17;4;400;21
01:00;9.7;27;20;184;152;61;2270;120
02:00;9.6;23;17;178;148;48;2050;95
03:00;9.4;18;12;180;149;48;2090;91
04:00;9.3;15;9;164;135;34;1900;67
05:00;8.9;16;9;152;125;23;1760;50
06:00;8.3;15;9;138;113;29;1620;59
07:00;7.7;15;8;136;112;46;1620;84
08:00;7.5;18;9;139;114;50;1670;93
09:00;7.5;15;8;142;116;67;1800;117
10:00;7.7;19;10;150;123;95;2110;164
11:00;8;18;11;150;123;52;1880;96
12:00;8.1;29;15;140;113;92;2070;170
13:00;8.6;41;18;152;120;158;2580;282
14:00;9.3;38;16;166;132;92;2170;178
15:00;9.9;51;16;169;132;185;2780;332
16:00;10.9;49;11;161;125;219;2970;383
17:00;11.6;34;11;186;147;137;2540;243
18:00;12;41;10;159;127;240;2900;407
19:00;11.7;48;10;137;110;310;3200;520
20:00;11.2;46;10;128;103;282;3210;477
21:00;10.8;47;10;118;95;216;2430;378
22:00;10.3;40;10;108;87;142;2000;257
23:00;9.4;37;10;90;72;133;1810;240
