CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenki azotu
00:00;22;1;38;80
01:00;21;1;34;74
02:00;37;2;31;84
03:00;34;2;5;41
04:00;27;2;4;32
05:00;27;1;5;34
06:00;29;1;20;59
07:00;27;1;10;42
08:00;27;1;10;42
09:00;26;2;15;49
10:00;17;3;7;27
11:00;13;6;3;18
12:00;16;15;5;23
13:00;24;44;8;36
14:00;27;45;9;41
15:00;25;20;8;38
16:00;18;9;4;24
17:00;20;13;3;24
18:00;29;21;2;32
19:00;46;12;5;52
20:00;52;5;25;90
21:00;46;2;37;102
22:00;39;2;49;113
23:00;37;2;90;174
