CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenki azotu
00:00;28;2;24;64
01:00;22;2;21;53
02:00;17;1;23;51
03:00;14;1;15;37
04:00;14;2;12;32
05:00;13;1;12;31
06:00;12;1;19;41
07:00;13;2;31;60
08:00;16;1;20;46
09:00;19;2;14;40
10:00;23;12;15;45
11:00;10;6;3;14
12:00;9;4;2;12
13:00;9;9;2;11
14:00;12;17;2;15
15:00;11;12;2;14
16:00;10;13;2;13
17:00;;;;
18:00;13;10;2;16
19:00;21;10;2;25
20:00;36;11;4;42
21:00;53;10;36;107
22:00;53;7;32;101
23:00;38;3;39;97
