CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;14;4;26;13;2;320;17
01:00;22;5;75;38;3;700;27
02:00;22;2;40;23;26;660;62
03:00;18;3;36;20;16;550;43
04:00;13;2;37;21;9;470;28
05:00;16;2;46;24;20;580;47
06:00;14;2;48;27;23;550;49
07:00;29;2;58;32;43;660;95
08:00;35;3;84;31;27;700;76
09:00;27;4;44;15;11;370;44
10:00;13;3;28;11;2;270;17
11:00;8;4;18;8;0;220;9
12:00;6;4;18;7;0;210;7
13:00;11;7;24;9;1;370;13
14:00;10;7;20;7;1;290;11
15:00;11;7;26;8;1;450;13
16:00;11;8;27;8;1;480;13
17:00;9;6;18;5;1;280;11
18:00;10;5;19;6;1;;11
19:00;13;7;20;7;1;460;15
20:00;21;13;42;13;2;760;24
21:00;17;9;48;20;2;730;20
22:00;26;9;57;24;2;640;30
23:00;14;6;31;15;2;350;17
