CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;9;5;1;180;10
01:00;8;4;1;220;9
02:00;17;9;3;450;21
03:00;15;11;2;360;17
04:00;16;8;2;400;18
05:00;12;15;1;340;14
06:00;9;8;1;300;11
07:00;11;7;2;430;14
08:00;16;9;3;500;20
09:00;13;11;4;440;17
10:00;15;16;8;950;26
11:00;13;20;7;750;24
12:00;16;17;7;620;27
13:00;15;13;6;640;25
14:00;16;19;9;710;29
15:00;20;16;8;610;32
16:00;18;14;5;;25
17:00;22;15;4;550;27
18:00;19;13;3;540;22
19:00;21;13;3;550;24
20:00;27;17;5;640;34
21:00;17;11;1;290;19
22:00;17;10;2;410;20
23:00;18;10;2;370;21
