CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;106;231;187;2090
01:00;30;63;47;960
02:00;40;101;76;1170
03:00;34;74;55;1030
04:00;25;50;39;820
05:00;21;45;34;550
06:00;27;49;36;960
07:00;26;49;34;860
08:00;20;59;42;630
09:00;26;56;41;600
10:00;48;55;36;770
11:00;30;49;35;560
12:00;29;55;39;570
13:00;28;63;40;560
14:00;30;59;41;560
15:00;32;71;44;
16:00;31;100;55;680
17:00;35;178;82;1000
18:00;27;196;111;1290
19:00;32;203;133;1590
20:00;31;254;165;2140
21:00;36;239;168;2420
22:00;90;228;174;2210
23:00;104;240;189;2280
