CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5.7;50;5;52;33;58;950;138
01:00;5;41;4;40;26;41;980;103
02:00;4.8;34;4;34;23;15;520;57
03:00;4.4;27;4;35;21;28;590;70
04:00;4.4;19;3;35;21;47;620;90
05:00;3.5;16;4;32;20;47;560;88
06:00;4;15;4;38;22;78;640;134
07:00;5.1;22;5;43;24;125;850;213
08:00;1.8;35;7;30;15;35;470;88
09:00;1.2;27;7;18;7;10;310;41
10:00;0.9;23;5;14;6;8;310;34
11:00;0.9;21;4;20;6;8;280;34
12:00;0.9;25;5;16;6;7;310;36
13:00;1.2;32;18;16;7;11;310;47
14:00;1.2;29;7;14;6;13;360;47
15:00;0.9;27;5;13;6;10;380;43
16:00;0.9;;;13;5;;;
17:00;0.6;24;3;12;5;10;310;39
18:00;0.8;27;8;12;5;9;330;41
19:00;0.9;39;14;13;6;13;350;57
20:00;0.9;57;6;17;7;14;450;77
21:00;0.9;47;6;85;57;5;590;55
22:00;0.9;48;4;76;47;8;670;62
23:00;2.3;59;6;95;57;51;850;137
