CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;31.7;26;8;1;510;28
01:00;5.4;7;3;1;260;9
02:00;2.1;;;;;
03:00;1;38;3;6;520;45
04:00;1;43;3;11;680;60
05:00;2.1;48;4;47;880;120
06:00;2.6;45;4;41;810;108
07:00;4.7;43;6;16;740;66
08:00;3.7;50;23;16;1210;74
09:00;19.6;23;13;5;560;30
10:00;3.6;17;7;5;420;24
11:00;0.5;11;5;2;340;15
12:00;0;8;5;1;320;10
13:00;0;8;6;1;310;10
14:00;0;26;17;3;;31
15:00;11.6;27;24;3;600;32
16:00;13.5;14;13;1;650;16
17:00;1.6;15;18;1;480;18
18:00;1;32;19;3;820;36
19:00;14.4;28;11;2;740;31
20:00;7.6;12;6;1;300;13
21:00;0.1;9;7;1;550;11
22:00;1;24;6;2;680;28
23:00;11.8;60;13;4;1240;66
