CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;5;54;4;112;70;48;126
01:00;12.5;51;3;115;81;46;121
02:00;1.9;13;3;77;63;0;13
03:00;1.9;12;2;76;63;1;12
04:00;1.9;13;2;71;59;1;13
05:00;1.9;14;2;77;63;1;14
06:00;1.9;15;1;69;57;1;15
07:00;1.9;14;2;64;54;1;14
08:00;1.9;12;3;78;54;1;12
09:00;1.9;12;2;85;55;1;13
10:00;1.9;14;2;66;56;2;17
11:00;2;21;7;67;55;6;29
12:00;2.8;26;12;73;57;7;36
13:00;2.3;35;25;76;59;10;50
14:00;1.6;23;13;39;27;6;31
15:00;0.9;21;12;35;25;4;26
16:00;0.9;12;7;37;30;1;12
17:00;0.9;10;6;35;26;1;11
18:00;0.9;11;5;33;25;1;12
19:00;1.1;16;8;45;35;1;16
20:00;1.3;17;7;54;33;1;17
21:00;1.6;21;3;42;31;1;21
22:00;2;24;4;45;33;1;24
23:00;3;33;4;58;44;1;34
