CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0;25;4;24;3;420;27
01:00;0;22;4;23;2;350;23
02:00;1;40;4;30;12;530;57
03:00;1;39;3;40;3;400;42
04:00;1;32;3;26;3;360;36
05:00;1;36;4;25;14;450;55
06:00;1;27;3;27;29;510;69
07:00;1.1;42;8;30;27;720;81
08:00;1.5;36;15;41;21;520;67
09:00;1;26;9;30;11;460;43
10:00;0.5;29;12;19;13;450;46
11:00;0;25;6;14;10;370;39
12:00;0;22;13;10;11;430;37
13:00;0;20;12;16;8;350;32
14:00;0;15;12;10;6;;23
15:00;0;10;9;10;3;280;13
16:00;0;12;4;7;4;320;18
17:00;0;16;3;10;3;310;19
18:00;0;29;3;10;6;420;36
19:00;0;29;3;8;5;420;34
20:00;0;31;4;12;6;440;39
21:00;0;30;4;31;6;500;37
22:00;0;22;4;32;2;390;23
23:00;0;;;14;;;
