CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6;29;19;97;3;1030;33
01:00;9.2;31;12;97;2;1250;34
02:00;8.1;29;11;97;4;1320;34
03:00;8;26;7;97;1;870;27
04:00;10.9;27;9;97;4;1430;32
05:00;11.4;24;5;97;5;1020;31
06:00;7.9;29;10;97;6;1080;38
07:00;10.9;35;9;97;29;1160;79
08:00;12;40;14;97;37;1440;97
09:00;19.8;38;22;97;32;1770;86
10:00;15.1;26;15;97;16;790;50
11:00;2.5;16;8;97;6;420;24
12:00;1.8;12;9;97;4;340;17
13:00;1.4;9;8;97;2;260;12
14:00;1.6;11;7;97;2;320;14
15:00;6.4;18;9;97;2;530;21
16:00;4.2;22;15;97;2;520;24
17:00;5.6;44;20;97;5;;51
18:00;13.2;52;28;97;8;1580;65
19:00;11;52;27;97;9;1350;66
20:00;12.5;51;25;97;9;1480;64
21:00;10.6;39;20;97;5;1200;46
22:00;7.3;29;15;97;3;970;33
23:00;8.2;29;17;97;3;1050;32
