CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;2;31;4;41;4;37
01:00;2;34;5;41;2;37
02:00;0.7;14;3;31;1;15
03:00;0.4;13;3;17;1;13
04:00;0.4;13;4;22;1;14
05:00;0.4;18;4;28;0;18
06:00;0.4;23;3;35;4;30
07:00;1;23;7;34;7;33
08:00;0.4;18;14;20;6;27
09:00;0.4;16;14;12;7;26
10:00;0.4;12;7;30;6;20
11:00;0.4;10;7;17;3;14
12:00;0.4;9;12;11;2;11
13:00;0.4;13;16;7;2;17
14:00;0.4;12;11;6;2;15
15:00;0.4;16;10;5;2;21
16:00;0.4;32;6;14;9;46
17:00;0.4;22;6;27;6;31
18:00;0.4;29;10;25;11;45
19:00;1;31;7;22;13;51
20:00;1;43;8;15;12;61
21:00;1.1;50;9;35;19;79
22:00;2.1;36;5;33;7;47
23:00;4;34;4;35;14;55
