CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;30;27;321;281;187;3030;315
01:00;14;3;44;39;2;190;16
02:00;14;3;49;44;2;230;17
03:00;23;7;57;52;3;270;27
04:00;29;15;62;55;4;270;34
05:00;;11;61;55;;350;
06:00;;;61;55;;;
07:00;46;49;81;71;46;400;116
08:00;42;31;91;80;40;450;102
09:00;44;16;102;88;52;560;122
10:00;44;15;113;96;56;560;127
11:00;38;15;113;97;37;590;95
12:00;45;16;117;98;48;640;119
13:00;49;19;118;99;32;500;97
14:00;60;18;128;104;50;510;137
15:00;66;19;148;117;58;620;155
16:00;74;19;167;127;79;;194
17:00;76;16;188;140;114;1140;250
18:00;73;13;216;164;182;1590;352
19:00;72;15;294;221;259;2160;469
20:00;65;19;350;274;304;2850;528
21:00;54;24;365;298;286;3170;490
22:00;45;28;332;285;237;3120;407
23:00;38;25;320;281;224;2980;380
