CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;35;2;67;1530;138
01:00;32;2;49;1190;104
02:00;44;3;23;580;78
03:00;34;3;34;680;86
04:00;31;3;28;620;74
05:00;32;2;26;600;72
06:00;33;2;18;540;60
07:00;32;2;28;610;75
08:00;34;3;34;590;86
09:00;33;6;32;630;81
10:00;35;9;29;580;80
11:00;35;16;23;530;70
12:00;40;26;19;370;68
13:00;36;30;12;330;55
14:00;21;10;5;200;27
15:00;20;6;5;180;27
16:00;17;5;3;180;22
17:00;20;4;4;190;24
18:00;29;3;4;240;33
19:00;79;4;53;1360;160
20:00;64;3;103;2610;219
21:00;56;3;122;1980;243
22:00;42;2;85;1470;172
23:00;39;1;83;1820;164
