CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0;18;3;55;1;230;18
01:00;0;17;3;39;1;200;17
02:00;0;31;3;34;8;400;41
03:00;0;36;3;29;20;320;65
04:00;0;27;3;64;7;360;36
05:00;0.1;31;3;35;35;550;84
06:00;1;43;6;32;35;730;96
07:00;1;36;8;54;17;480;60
08:00;0.6;32;20;42;17;500;57
09:00;0.5;24;27;44;12;360;40
10:00;0;16;9;27;7;320;24
11:00;0;12;3;14;4;250;16
12:00;0;7;3;8;2;200;8
13:00;0;4;2;7;1;190;5
14:00;0;5;2;6;1;170;5
15:00;0;5;3;8;1;;6
16:00;0;7;3;8;2;210;9
17:00;0;10;3;8;2;220;12
18:00;0;17;2;9;5;290;23
19:00;0;33;3;10;9;400;44
20:00;0;38;3;30;9;450;50
21:00;0;46;4;36;10;560;59
22:00;0;44;3;47;23;500;77
23:00;0.5;42;3;76;6;400;49
