CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6.1;18;2;75;1180;133
01:00;13.5;22;5;210;2400;342
02:00;11.4;22;4;183;1650;302
03:00;8;15;4;140;1460;228
04:00;7.4;19;3;102;1340;173
05:00;7.4;12;2;84;1310;139
06:00;6.5;12;3;94;1140;156
07:00;6.2;11;3;69;1000;117
08:00;5.2;15;3;69;820;120
09:00;4.1;27;3;72;790;138
10:00;3.3;32;5;35;630;86
11:00;2.3;21;5;13;310;40
12:00;1.3;15;4;8;230;26
13:00;1;15;4;9;270;28
14:00;1;20;3;13;330;38
15:00;1;16;3;8;240;28
16:00;0.9;22;5;9;210;35
17:00;1.2;36;5;15;400;58
18:00;1.9;40;5;28;560;82
19:00;4;29;3;29;910;74
20:00;6.9;26;3;30;1180;71
21:00;6.5;25;3;51;;103
22:00;7.4;24;3;48;1260;96
23:00;6.7;20;2;50;1140;97
