CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.8;35;2;6;430;44
01:00;1.7;32;1;4;440;38
02:00;;3;1;1;140;4
03:00;;3;1;0;110;4
04:00;;3;1;1;130;4
05:00;;4;1;1;200;5
06:00;;7;1;1;220;8
07:00;;8;1;1;180;9
08:00;0.4;5;2;1;180;6
09:00;0.4;5;2;1;170;6
10:00;0.4;7;1;1;190;8
11:00;0.4;14;1;2;280;17
12:00;0.6;15;1;3;280;19
13:00;0.4;15;2;3;270;19
14:00;0.8;29;1;8;450;41
15:00;1.4;31;1;15;470;53
16:00;1.3;31;3;16;470;56
17:00;1.2;13;2;5;220;20
18:00;0.4;33;1;7;340;43
19:00;1.1;45;2;18;560;73
20:00;1.7;58;3;37;;115
21:00;2.6;52;4;33;700;102
22:00;2.2;49;3;20;580;78
23:00;2;39;2;11;480;56
