CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;62;9;136;38;1230;121
01:00;47;9;68;6;620;57
02:00;27;9;72;2;470;32
03:00;39;7;48;9;590;53
04:00;41;11;65;31;;88
05:00;36;11;95;21;720;65
06:00;46;11;82;20;880;77
07:00;49;12;105;44;1180;117
08:00;57;15;103;66;1410;158
09:00;42;17;110;33;1020;94
10:00;36;18;97;19;740;66
11:00;31;15;77;12;630;52
12:00;28;12;52;13;550;48
13:00;27;15;51;10;530;42
14:00;38;14;43;13;590;58
15:00;40;15;59;16;710;65
16:00;31;8;49;12;650;49
17:00;40;8;52;15;690;64
18:00;56;13;47;15;760;80
19:00;69;19;53;22;940;103
20:00;73;19;80;20;980;104
21:00;63;21;110;16;910;88
22:00;64;19;106;16;1020;89
23:00;64;17;115;24;1070;101
