CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;5.1;37;4;75;51;81;162
01:00;4.2;31;3;60;41;55;116
02:00;;;;;;;
03:00;;;;;;;
04:00;;;;;;;
05:00;;;;;;;
06:00;;;;;;;
07:00;;;;;;;
08:00;;;;;;;
09:00;0.7;;;;;;
10:00;5.1;;;13;8;;
11:00;1.7;;5;18;9;;
12:00;1.7;;7;12;5;;
13:00;1.3;;8;4;3;;
14:00;1.1;;8;7;3;;
15:00;1.3;31;8;5;3;19;62
16:00;1.6;37;8;8;3;22;70
17:00;1.3;35;7;9;3;16;60
18:00;0.7;29;8;12;3;11;48
19:00;1.2;32;6;12;3;11;49
20:00;1.1;36;5;97;74;8;49
21:00;4.1;30;6;63;42;30;77
22:00;3.3;29;5;151;94;30;76
23:00;4.2;23;5;160;100;62;118
