CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5.5;19;67;45;3;640;23
01:00;3.2;22;50;37;8;730;34
02:00;2.8;16;44;34;4;710;21
03:00;2.8;16;45;34;3;550;21
04:00;3.6;13;44;31;2;510;16
05:00;2.6;9;41;29;1;580;10
06:00;2.5;10;42;30;1;550;11
07:00;2.6;18;53;35;3;520;22
08:00;3.1;20;53;35;4;550;25
09:00;2.9;13;47;33;2;480;17
10:00;2.8;12;46;34;3;460;16
11:00;2.6;17;50;35;5;410;25
12:00;2.9;14;49;35;4;380;19
13:00;2.9;17;57;39;5;440;24
14:00;2.8;17;61;41;5;480;24
15:00;2.8;14;55;40;2;500;18
16:00;2.6;13;55;39;2;500;15
17:00;2.6;17;59;40;3;570;21
18:00;3.1;19;59;41;3;670;24
19:00;3.4;18;56;41;3;630;21
20:00;3.8;17;59;42;2;640;20
21:00;4.4;20;57;43;3;720;23
22:00;4.5;20;58;45;3;740;24
23:00;5.4;20;62;46;3;780;25
