CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6.4;25;1;65;1250;125
01:00;5.7;20;3;57;1200;106
02:00;8.3;9;3;33;940;59
03:00;7.6;8;3;25;830;46
04:00;6.3;8;2;28;;51
05:00;5.8;8;3;35;790;61
06:00;4.9;7;3;43;770;72
07:00;4.5;7;3;53;700;87
08:00;4.4;20;3;94;990;164
09:00;4.6;50;5;95;980;196
10:00;3.4;50;5;50;730;126
11:00;2.1;42;6;28;450;85
12:00;1.3;24;5;12;230;41
13:00;1.1;25;4;11;240;41
14:00;1.2;26;5;11;250;42
15:00;1;27;4;11;270;44
16:00;0.8;29;4;12;340;47
17:00;0.9;31;4;11;270;47
18:00;1;38;5;12;420;56
19:00;1.6;66;5;20;560;96
20:00;2.8;58;3;22;790;91
21:00;3.9;31;2;12;890;49
22:00;4.9;32;3;32;1070;81
23:00;5.2;28;3;45;1130;96
