CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;7.4;37;3;24;920;72
01:00;4.8;30;3;7;790;41
02:00;10.5;28;3;54;1670;110
03:00;8.8;27;3;39;1390;85
04:00;6.2;25;2;36;1200;81
05:00;5.6;20;3;49;1240;94
06:00;6.5;16;2;74;1490;129
07:00;6.3;16;2;110;1570;184
08:00;7.1;16;2;131;1690;216
09:00;8.6;19;3;152;1800;252
10:00;10;36;4;77;1390;154
11:00;10.7;41;4;31;810;88
12:00;3;30;5;12;540;48
13:00;2.3;;;;;
14:00;1.9;22;8;5;390;30
15:00;4;24;16;5;630;31
16:00;2.4;20;7;4;470;25
17:00;2.5;44;5;47;670;115
18:00;4.6;61;4;117;;240
19:00;7.6;57;4;138;1980;268
20:00;15.3;44;3;89;2250;180
21:00;21;36;5;162;2440;283
22:00;22.8;39;5;146;3130;262
23:00;18.2;42;4;109;1850;209
