CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;21;12;289;267;101;3000;175
01:00;18;11;319;292;118;1880;199
02:00;16;14;318;292;115;1980;191
03:00;18;13;264;244;105;1610;178
04:00;16;12;238;223;101;1260;170
05:00;17;11;219;206;89;920;151
06:00;18;10;189;178;70;450;124
07:00;19;9;188;177;102;610;174
08:00;20;9;192;182;101;590;174
09:00;25;10;196;186;97;620;173
10:00;35;17;157;145;56;;120
11:00;34;22;95;87;22;900;68
12:00;38;23;72;66;23;670;72
13:00;37;25;65;58;17;570;62
14:00;38;26;63;56;15;510;61
15:00;43;22;64;57;16;480;67
16:00;70;17;81;68;72;1020;181
17:00;54;9;96;83;20;770;85
18:00;51;6;130;116;27;1030;93
19:00;51;7;183;162;149;1860;279
20:00;49;6;217;192;214;2520;376
21:00;40;7;255;231;215;2980;368
22:00;30;7;282;257;192;3080;323
23:00;26;10;277;255;119;2860;206
