CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.4;36;2;26;16;4;300;42
01:00;0.4;24;2;25;17;3;250;27
02:00;4.8;30;1;84;51;25;570;68
03:00;6.2;27;1;74;43;15;430;49
04:00;5;24;2;81;46;6;460;33
05:00;9;28;2;82;44;8;560;40
06:00;9.6;33;3;89;49;18;760;61
07:00;3.7;24;2;34;22;5;190;32
08:00;0.4;23;2;46;26;11;230;40
09:00;0.8;25;2;67;34;16;320;49
10:00;3.6;26;3;109;57;18;520;53
11:00;5.1;34;5;104;52;34;690;86
12:00;3.7;43;4;64;33;33;720;92
13:00;2;31;4;39;21;16;550;55
14:00;0.4;27;4;27;13;11;470;44
15:00;0.4;21;5;14;4;8;340;34
16:00;0.4;21;4;11;3;7;250;30
17:00;0.4;23;3;10;3;8;270;35
18:00;0.4;24;3;9;3;7;;34
19:00;0.4;;;14;4;;;
20:00;0.4;38;2;19;6;6;200;46
21:00;0.4;24;1;20;6;2;170;26
22:00;0.4;42;2;19;7;6;310;51
23:00;0.4;38;2;24;13;5;340;45
